"day","paramecium","source","citation"
3.134845882,21.021072,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
4.12250691,20.88525503,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
5.035604419,30.66068167,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
6.096199162,53.61714553,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
7.081008034,111.2374963,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
8.092219725,134.2007511,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
9.053640914,165.4216777,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
10.03975363,196.639209,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
11.02668124,211.354978,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
12.06445874,196.3607842,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
13.07624086,207.7728054,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
14.06471679,191.1352262,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
15.0765804,200.8970711,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
16.06497484,185.9096681,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
17.05206544,197.3250847,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
18.01430153,212.0442492,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
19.05118263,215.2019938,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
20.03949558,201.864767,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
21.07670264,198.4218068,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
22.08742539,231.2861188,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
23.05120979,214.6519351,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
24.06364383,212.8625464,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
25.02750973,194.5781864,"gauseR::gause_1934_book_f21","Gause (1934) The Struggle for Existence, Fig. 21 (Paramecium caudatum monoculture)"
