"day","paramecium","didinium","immigration","source","citation"
1,2.9,0,"n","gauseR::gause_1934_book_f32","Gause (1934) The Struggle for Existence, Fig. 32"
2,7.6,0,"n","gauseR::gause_1934_book_f32","Gause (1934) The Struggle for Existence, Fig. 32"
3,15.2,0,"y","gauseR::gause_1934_book_f32","Gause (1934) The Struggle for Existence, Fig. 32"
4,25.1,4.8,"n","gauseR::gause_1934_book_f32","Gause (1934) The Struggle for Existence, Fig. 32"
5,55.4,6.9,"n","gauseR::gause_1934_book_f32","Gause (1934) The Struggle for Existence, Fig. 32"
6,27.1,31,"y","gauseR::gause_1934_book_f32","Gause (1934) The Struggle for Existence, Fig. 32"
7,9.6,27.9,"n","gauseR::gause_1934_book_f32","Gause (1934) The Struggle for Existence, Fig. 32"
8,2.4,15.8,"n","gauseR::gause_1934_book_f32","Gause (1934) The Struggle for Existence, Fig. 32"
9,0.5,11.7,"y","gauseR::gause_1934_book_f32","Gause (1934) The Struggle for Existence, Fig. 32"
10,1.3,4.1,"n","gauseR::gause_1934_book_f32","Gause (1934) The Struggle for Existence, Fig. 32"
11,5.3,0,"n","gauseR::gause_1934_book_f32","Gause (1934) The Struggle for Existence, Fig. 32"
12,15.2,0,"y","gauseR::gause_1934_book_f32","Gause (1934) The Struggle for Existence, Fig. 32"
13,27.5,3.1,"n","gauseR::gause_1934_book_f32","Gause (1934) The Struggle for Existence, Fig. 32"
14,18.2,28.6,"n","gauseR::gause_1934_book_f32","Gause (1934) The Struggle for Existence, Fig. 32"
15,0,37,"y","gauseR::gause_1934_book_f32","Gause (1934) The Struggle for Existence, Fig. 32"
16,0,18.6,"n","gauseR::gause_1934_book_f32","Gause (1934) The Struggle for Existence, Fig. 32"
17,0,9.3,"n","gauseR::gause_1934_book_f32","Gause (1934) The Struggle for Existence, Fig. 32"
