temperature;plate_phenotypes;waterbath;shredder_biomass;shredder_survival;shredder_recruitment;gastropod_biomass;theodoxus_eggs;diatom_biomass;epiphyte_biomass;turbidity
ambient;both;4;0.0231;5.555555556;29;3.7544;0.0727;0.2908;0.4783;1.138666667
ambient;both;3;0.0507;35;41;3.5223;0.058;0.1993;0.3706;1.592
ambient;both;4;0.0259;16.66666667;13;3.7706;0.0502;0.3275;0.4591;1.884
ambient;both;3;0.0202;11.11111111;14;3.7363;0.0498;0.3213;0.4225;1.720333333
ambient;both;3;0.0242;11.11111111;116;3.652;0.0539;0.4922;0.6531;1.749333333
ambient;both;4;0.0066;0;65;3.4676;0.0397;0.4731;0.6715;0.400666667
ambient;both;3;;;;;;0.1448;;1.255
ambient;both;4;;;;;;0.4995;;1.091333333
ambient;completely_plated;3;0.0403;27.77777778;36;3.6367;0.0683;0.386;0.818;0.929333333
ambient;completely_plated;4;0.0354;27.77777778;29;3.8107;0.0662;0.1836;0.9561;1.667
ambient;completely_plated;3;0.0361;27.77777778;30;3.4981;0.045;0.2936;0.9139;1.338333333
ambient;completely_plated;4;0.0344;22.22222222;5;3.4329;0.0671;0.3893;0.7271;2.962
ambient;completely_plated;3;0.0496;27.77777778;66;3.6646;0.0603;0.337;0.8463;1.551
ambient;completely_plated;4;0.0332;27.77777778;39;3.7486;0.0317;0.2809;0.6093;1.535
ambient;completely_plated;3;;;;;;0.4608;;0.859
ambient;completely_plated;4;;;;;;0.5011;;2.997
ambient;incompletely_plated;3;0.0225;11.11111111;8;3.6228;0.0442;0.4682;0.6196;1.027
ambient;incompletely_plated;4;0.0158;5.555555556;47;3.7341;0.0453;0.48;0.6247;2.805
ambient;incompletely_plated;4;0.0199;16.66666667;22;3.7382;0.0462;0.4715;0.6519;1.597666667
ambient;incompletely_plated;3;0.0287;22.22222222;86;3.6453;0.064;0.2052;0.6613;2.128666667
ambient;incompletely_plated;4;0.017;16.66666667;37;3.7685;0.0817;0.2432;0.7372;1.285333333
ambient;incompletely_plated;3;0.0326;27.77777778;59;3.6464;0.044;0.3494;0.6644;1.099666667
ambient;incompletely_plated;3;;;;;;0.1641;;1.132
ambient;incompletely_plated;4;;;;;;0.232;;0.416333333
high;both;2;0.0306;5.263157895;98;3.7999;0.066;0.5199;0.6073;0.816
high;both;1;0.031;22.22222222;42;3.6381;0.1108;0.3375;0.4796;1.412666667
high;both;2;0.0177;16.66666667;9;3.7117;0.0862;0.5722;0.9836;1.235333333
high;both;1;0.0465;11.11111111;47;3.7661;0.054;0.4473;0.6255;0.689
high;both;2;0.015;0;21;3.939;0.1339;0.3773;0.4701;2.179
high;both;1;0.0122;11.11111111;12;3.7202;0.0399;0.5271;0.8149;1.853333333
high;both;1;;;;;;0.2951;;1.264333333
high;both;2;;;;;;0.536;;0.186666667
high;completely_plated;1;0.0256;16.66666667;12;3.624;0.0317;0.5832;0.6845;1.662
high;completely_plated;2;0.0081;5.555555556;12;3.8494;0.0624;0.5079;0.8099;2.013333333
high;completely_plated;1;0.0167;16.66666667;0;3.6444;0.0634;0.8624;0.6884;1.624
high;completely_plated;2;0.0125;5.555555556;44;3.5522;0.0697;0.5788;0.519;3.603
high;completely_plated;1;0.0178;11.11111111;40;3.7251;0.1032;0.4062;0.7713;1.387333333
high;completely_plated;2;0.0177;5.555555556;53;3.8226;0.0311;0.6409;0.5588;1.136333333
high;completely_plated;1;;;;;;0.6308;;1.639333333
high;completely_plated;2;;;;;;0.5588;;1.275333333
high;incompletely_plated;2;0.0191;11.11111111;11;3.6378;0.0656;0.4549;0.5781;0.592666667
high;incompletely_plated;1;0.0237;5.555555556;15;3.5494;0.0453;0.5175;0.6795;0.828666667
high;incompletely_plated;1;0.0162;5.263157895;4;3.5029;0.0564;0.4118;0.6878;2.854666667
high;incompletely_plated;2;0.0085;5.555555556;36;3.8835;0.0603;0.5808;0.6663;2.528666667
high;incompletely_plated;1;0.0087;11.11111111;1;3.6691;0.1099;0.1529;0.764;1.268333333
high;incompletely_plated;2;0.0166;5.555555556;97;3.702;0.0741;0.3468;0.5066;0.952666667
high;incompletely_plated;1;;;;;;0.3282;;1.271333333
high;incompletely_plated;2;;;;;;0.3637;;0.933
