temperature;predation;plate_phenotype;waterbath;shredder_biomass;shredder_survival;shredder_recruitment;gastropod_biomass;theodoxus_eggs;diatom_biomass;epiphyte_biomass;turbidity
ambient;fish;completely_plated;3;0.0403;27.77777778;36;3.6367;0.0683;0.386;0.818;0.929333333
ambient;fish;both;4;0.0231;5.555555556;29;3.7544;0.0727;0.2908;0.4783;1.138666667
ambient;fish;incompletely_plated;3;0.0225;11.11111111;8;3.6228;0.0442;0.4682;0.6196;1.027
ambient;fish;both;3;0.0507;35;41;3.5223;0.058;0.1993;0.3706;1.592
ambient;fish;completely_plated;4;0.0354;27.77777778;29;3.8107;0.0662;0.1836;0.9561;1.667
ambient;fish;both;4;0.0259;16.66666667;13;3.7706;0.0502;0.3275;0.4591;1.884
ambient;fish;incompletely_plated;4;0.0158;5.555555556;47;3.7341;0.0453;0.48;0.6247;2.805
ambient;fish;both;3;0.0202;11.11111111;14;3.7363;0.0498;0.3213;0.4225;1.720333333
ambient;no fish;no_fish;3;0.1322;88.88888889;71;3.4406;0.04575;0.3192;0.7192;0.626
ambient;no fish;no_fish;3;0.1007;66.66666667;63;3.4589;0.0674;0.2297;0.6963;1.213666667
ambient;no fish;no_fish;3;0.0999;66.66666667;122;3.4853;0.0539;0.538;0.6794;1.330333333
ambient;no fish;no_fish;3;0.0912;61.11111111;116;3.6039;0.0544;0.2504;0.5335;1.33
ambient;no fish;no_fish;4;0.0572;50;44;3.6791;0.0316;0.5888;0.1447;1.279
ambient;no fish;no_fish;4;0.1309;83.33333333;90;3.6073;0.0455;0.4776;0.5674;0.989333333
ambient;no fish;no_fish;4;0.1337;83.33333333;86;3.5951;0.0539;0.3032;0.4782;0.766333333
ambient;no fish;no_fish;4;0.1138;77.77777778;52;3.6458;0.0739;0.1504;0.6501;2.11
high;fish;incompletely_plated;2;0.0191;11.11111111;11;3.6378;0.0656;0.4549;0.5781;0.592666667
high;fish;completely_plated;1;0.0256;16.66666667;12;3.624;0.0317;0.5832;0.6845;1.662
high;fish;incompletely_plated;1;0.0237;5.555555556;15;3.5494;0.0453;0.5175;0.6795;0.828666667
high;fish;completely_plated;2;0.0081;5.555555556;12;3.8494;0.0624;0.5079;0.8099;2.013333333
high;fish;both;2;0.0306;5.263157895;98;3.7999;0.066;0.5199;0.6073;0.816
high;fish;incompletely_plated;1;0.0162;5.263157895;4;3.5029;0.0564;0.4118;0.6878;2.854666667
high;fish;incompletely_plated;2;0.0085;5.555555556;36;3.8835;0.0603;0.5808;0.6663;2.528666667
high;fish;both;1;0.031;22.22222222;42;3.6381;0.1108;0.3375;0.4796;1.412666667
high;no fish;no_fish;1;0.1935;77.77777778;129;3.682;0.0662;0.2055;0.4694;1.241333333
high;no fish;no_fish;1;0.1432;88.88888889;72;3.4861;0.064;0.393;0.527;1.261333333
high;no fish;no_fish;1;0.2235;77.77777778;156;3.6585;0.0681;0.5305;0.697;2.579666667
high;no fish;no_fish;1;0.1145;61.11111111;36;3.6576;0.0636;0.3971;0.5393;0.977
high;no fish;no_fish;2;0.1912;100;66;3.5485;0.0679;0.2247;0.5701;0.874
high;no fish;no_fish;2;0.2152;77.77777778;118;3.7265;0.1125;0.2839;0.5286;1.797333333
high;no fish;no_fish;2;0.1458;88.88888889;31;3.6141;0.0517;0.2721;0.5896;0.985666667
high;no fish;no_fish;2;0.1539;94.73684211;27;3.6747;0.0964;0.2651;0.439;1.552
