temperature;phenotype_treatment;plate_phenotype;mesocosm_code;waterbath;shredders
ambient;both;completely_plated;A;3;0.00000
ambient;both;completely_plated;B;3;0.01000
ambient;both;completely_plated;C;3;0.01000
ambient;both;completely_plated;D;3;0.00000
ambient;both;completely_plated;AU;4;0.00000
ambient;both;completely_plated;E;4;0.11000
ambient;both;completely_plated;E;4;0.40000
ambient;both;completely_plated;F;4;3.40000
ambient;both;completely_plated;G;4;0.00000
ambient;both;incompletely_plated;A;3;0.10000
ambient;both;incompletely_plated;B;3;0.01000
ambient;both;incompletely_plated;C;3;0.11000
ambient;both;incompletely_plated;AU;4;0.00000
ambient;both;incompletely_plated;E;4;0.70000
ambient;both;incompletely_plated;F;4;0.10000
ambient;both;incompletely_plated;G;4;0.01000
ambient;completely_plated;completely_plated;H;3;0.00000
ambient;completely_plated;completely_plated;H;3;0.30000
ambient;completely_plated;completely_plated;I;3;0.02000
ambient;completely_plated;completely_plated;I;3;0.11000
ambient;completely_plated;completely_plated;J;3;0.20000
ambient;completely_plated;completely_plated;J;3;0.00000
ambient;completely_plated;completely_plated;K;3;0.01000
ambient;completely_plated;completely_plated;K;3;0.20000
ambient;completely_plated;completely_plated;L;4;0.01000
ambient;completely_plated;completely_plated;L;4;0.00000
ambient;completely_plated;completely_plated;M;4;0.11000
ambient;completely_plated;completely_plated;M;4;0.70000
ambient;completely_plated;completely_plated;N;4;0.00000
ambient;completely_plated;completely_plated;N;4;1.61000
ambient;completely_plated;completely_plated;O;4;0.01000
ambient;completely_plated;completely_plated;O;4;0.00000
ambient;incompletely_plated;incompletely_plated;P;3;1.21000
ambient;incompletely_plated;incompletely_plated;P;3;0.11000
ambient;incompletely_plated;incompletely_plated;Q;3;0.01000
ambient;incompletely_plated;incompletely_plated;Q;3;0.00000
ambient;incompletely_plated;incompletely_plated;Q;3;0.00000
ambient;incompletely_plated;incompletely_plated;R;3;0.00000
ambient;incompletely_plated;incompletely_plated;R;3;0.01000
ambient;incompletely_plated;incompletely_plated;S;3;0.50000
ambient;incompletely_plated;incompletely_plated;S;3;0.00000
ambient;incompletely_plated;incompletely_plated;T;4;1.51000
ambient;incompletely_plated;incompletely_plated;T;4;0.00000
ambient;incompletely_plated;incompletely_plated;T;4;0.01000
ambient;incompletely_plated;incompletely_plated;U;4;0.01000
ambient;incompletely_plated;incompletely_plated;U;4;0.00000
ambient;incompletely_plated;incompletely_plated;V;4;2.71000
ambient;incompletely_plated;incompletely_plated;V;4;0.60000
high;both;completely_plated;X;1;0.00000
high;both;completely_plated;Y;1;0.00000
high;both;completely_plated;Z;1;0.00000
high;both;completely_plated;Z;1;0.00000
high;both;completely_plated;AA;1;3.80000
high;both;completely_plated;AB;2;0.00000
high;both;completely_plated;AC;2;0.80000
high;both;completely_plated;AD;2;0.00000
high;both;completely_plated;AD;2;0.00000
high;both;completely_plated;AE;2;0.00000
high;both;incompletely_plated;X;1;0.00000
high;both;incompletely_plated;X;1;0.70000
high;both;incompletely_plated;Y;1;0.00000
high;both;incompletely_plated;Z;1;0.00000
high;both;incompletely_plated;Z;1;0.00000
high;both;incompletely_plated;AA;1;0.00000
high;both;incompletely_plated;AB;2;0.20000
high;both;incompletely_plated;AC;2;0.00000
high;both;incompletely_plated;AC;2;0.00000
high;both;incompletely_plated;AD;2;0.10000
high;both;incompletely_plated;AE;2;0.00000
high;both;incompletely_plated;AE;2;0.00000
high;completely_plated;completely_plated;AF;1;0.40000
high;completely_plated;completely_plated;AF;1;0.10000
high;completely_plated;completely_plated;AG;1;0.00000
high;completely_plated;completely_plated;AG;1;0.01000
high;completely_plated;completely_plated;AG;1;0.01000
high;completely_plated;completely_plated;AH;1;0.00000
high;completely_plated;completely_plated;AH;1;0.50000
high;completely_plated;completely_plated;AH;1;3.00000
high;completely_plated;completely_plated;AI;1;0.02000
high;completely_plated;completely_plated;AI;1;0.40000
high;completely_plated;completely_plated;AJ;2;0.00000
high;completely_plated;completely_plated;AJ;2;0.60000
high;completely_plated;completely_plated;AK;2;0.00000
high;completely_plated;completely_plated;AK;2;0.60000
high;completely_plated;completely_plated;AL;2;0.00000
high;completely_plated;completely_plated;AL;2;2.30000
high;completely_plated;completely_plated;AM;2;0.90000
high;completely_plated;completely_plated;AM;2;0.00000
high;incompletely_plated;incompletely_plated;AN;1;0.70000
high;incompletely_plated;incompletely_plated;AN;1;0.00000
high;incompletely_plated;incompletely_plated;AN;1;1.60000
high;incompletely_plated;incompletely_plated;AO;1;0.00000
high;incompletely_plated;incompletely_plated;AO;1;0.50000
high;incompletely_plated;incompletely_plated;AP;1;0.30000
high;incompletely_plated;incompletely_plated;AP;1;0.00000
high;incompletely_plated;incompletely_plated;AQ;2;0.00000
high;incompletely_plated;incompletely_plated;AQ;2;0.40000
high;incompletely_plated;incompletely_plated;AR;2;0.01000
high;incompletely_plated;incompletely_plated;AR;2;0.00000
high;incompletely_plated;incompletely_plated;AS;2;0.00000
high;incompletely_plated;incompletely_plated;AS;2;0.01000
high;incompletely_plated;incompletely_plated;AT;2;0.30000
high;incompletely_plated;incompletely_plated;AT;2;0.00000
