data_type,day,volume,species,treatment,source,citation
real_digitized,2,6.511037264,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,3,8.013457463,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,4,8.097566607,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,5,18.75468991,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,6,54.0491956,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,7,103.4303337,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,8,135.9179029,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,9,166.2854269,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,10,196.6603722,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,11,215.7556217,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,12,199.7669132,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,13,202.5480123,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,14,183.8598401,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,15,193.3399851,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,16,182.8655106,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,17,191.1657912,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,18,208.8637569,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,19,211.8845396,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,20,198.4758653,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,21,197.9756083,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,22,221.5378505,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,23,213.4045512,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,24,213.4931957,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,25,NA,Paramecium caudatum,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
