"day","caudatum","aurelia","treatment","source","citation"
2,NA,NA,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
3,NA,9.254182536,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
4,NA,19.04089105,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
5,48.32459934,NA,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
6,89.9599652,NA,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
7,NA,64.10295226,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
8,124.649644,86.64809554,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
9,93.74574811,112.141348,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
10,78.34698749,91.49997581,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
11,65.75767196,116.98862,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
12,86.26901241,124.3220271,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
13,53.96163091,129.6917561,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
14,66.02484549,150.7651489,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
15,52.02214902,136.5021301,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
16,55.63476389,142.3632107,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
17,41.63701508,125.156115,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
18,47.35980605,140.3407779,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
19,47.44639007,120.6798047,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
20,51.76074776,141.7537736,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
21,42.69498926,132.3990857,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
22,23.06350731,140.2244203,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
23,22.45082234,NA,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
24,36.61679153,NA,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
25,22.62399037,140.6247595,"mixture","gauseR::gause_1934_book_f22","Gause (1934) The Struggle for Existence, Fig. 22"
