data_type,day,species,volume,treatment,source
real_digitized,2,caudatum,6.511037264,alone,gauseR::gause_1934_book_f22
real_digitized,3,caudatum,8.013457463,alone,gauseR::gause_1934_book_f22
real_digitized,4,caudatum,8.097566607,alone,gauseR::gause_1934_book_f22
real_digitized,5,caudatum,18.75468991,alone,gauseR::gause_1934_book_f22
real_digitized,6,caudatum,54.0491956,alone,gauseR::gause_1934_book_f22
real_digitized,7,caudatum,103.4303337,alone,gauseR::gause_1934_book_f22
real_digitized,8,caudatum,135.9179029,alone,gauseR::gause_1934_book_f22
real_digitized,9,caudatum,166.2854269,alone,gauseR::gause_1934_book_f22
real_digitized,10,caudatum,196.6603722,alone,gauseR::gause_1934_book_f22
real_digitized,11,caudatum,215.7556217,alone,gauseR::gause_1934_book_f22
real_digitized,12,caudatum,199.7669132,alone,gauseR::gause_1934_book_f22
real_digitized,13,caudatum,202.5480123,alone,gauseR::gause_1934_book_f22
real_digitized,14,caudatum,183.8598401,alone,gauseR::gause_1934_book_f22
real_digitized,15,caudatum,193.3399851,alone,gauseR::gause_1934_book_f22
real_digitized,16,caudatum,182.8655106,alone,gauseR::gause_1934_book_f22
real_digitized,17,caudatum,191.1657912,alone,gauseR::gause_1934_book_f22
real_digitized,18,caudatum,208.8637569,alone,gauseR::gause_1934_book_f22
real_digitized,19,caudatum,211.8845396,alone,gauseR::gause_1934_book_f22
real_digitized,20,caudatum,198.4758653,alone,gauseR::gause_1934_book_f22
real_digitized,21,caudatum,197.9756083,alone,gauseR::gause_1934_book_f22
real_digitized,22,caudatum,221.5378505,alone,gauseR::gause_1934_book_f22
real_digitized,23,caudatum,213.4045512,alone,gauseR::gause_1934_book_f22
real_digitized,24,caudatum,213.4931957,alone,gauseR::gause_1934_book_f22
real_digitized,25,caudatum,NA,alone,gauseR::gause_1934_book_f22
real_digitized,2,aurelia,5.849283537,alone,gauseR::gause_1934_book_f22
real_digitized,3,aurelia,13.67289007,alone,gauseR::gause_1934_book_f22
real_digitized,4,aurelia,NA,alone,gauseR::gause_1934_book_f22
real_digitized,5,aurelia,35.69788045,alone,gauseR::gause_1934_book_f22
real_digitized,6,aurelia,73.94783955,alone,gauseR::gause_1934_book_f22
real_digitized,7,aurelia,103.8551913,alone,gauseR::gause_1934_book_f22
real_digitized,8,aurelia,128.8565161,alone,gauseR::gause_1934_book_f22
real_digitized,9,aurelia,160.2356183,alone,gauseR::gause_1934_book_f22
real_digitized,10,aurelia,201.922734,alone,gauseR::gause_1934_book_f22
real_digitized,11,aurelia,225.4494282,alone,gauseR::gause_1934_book_f22
real_digitized,12,aurelia,236.2176877,alone,gauseR::gause_1934_book_f22
real_digitized,13,aurelia,200.8513227,alone,gauseR::gause_1934_book_f22
real_digitized,14,aurelia,231.2500259,alone,gauseR::gause_1934_book_f22
real_digitized,15,aurelia,NA,alone,gauseR::gause_1934_book_f22
real_digitized,16,aurelia,217.9409088,alone,gauseR::gause_1934_book_f22
