"temperature","predation","plate_phenotypes","waterbath","shredder_biomass","diatom_biomass","gastropod_biomass","data_type","source","citation"
"ambient","fish","completely_plated",3,0.0403,0.386,3.6367,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"ambient","fish","both",4,0.0231,0.2908,3.7544,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"ambient","fish","incompletely_plated",3,0.0225,0.4682,3.6228,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"ambient","fish","both",3,0.0507,0.1993,3.5223,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"ambient","fish","completely_plated",4,0.0354,0.1836,3.8107,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"ambient","fish","both",4,0.0259,0.3275,3.7706,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"ambient","fish","incompletely_plated",4,0.0158,0.48,3.7341,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"ambient","fish","both",3,0.0202,0.3213,3.7363,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"ambient","no fish","no_fish",3,0.1322,0.3192,3.4406,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"ambient","no fish","no_fish",3,0.1007,0.2297,3.4589,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
