data_type,month,treatment,castaneum,confusum,source,citation
synthetic_teaching,1,CS_priority,11,10,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,2,CS_priority,14,9,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,3,CS_priority,18,8,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,4,CS_priority,28,6,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,5,CS_priority,42,5,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,6,CS_priority,38,5,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,7,CS_priority,22,4,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,1,CF_priority,10,12,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,2,CF_priority,9,13,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,3,CF_priority,8,14,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,4,CF_priority,8,15,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,5,CF_priority,9,18,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,6,CF_priority,8,20,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,7,CF_priority,8,16,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,1,simultaneous,10,10,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,2,simultaneous,11,10,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,3,simultaneous,12,11,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,4,simultaneous,18,12,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,5,simultaneous,55,14,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,6,simultaneous,48,12,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
synthetic_teaching,7,simultaneous,8,6,SYNTHETIC teaching reconstruction (NOT original measurements),"Approximate monthly trajectories inspired by treatment means in Costanzo et al. (2020) PLoS ONE 15:e0236219 Fig. 3. Values are invented for teaching, not digitized points."
