data_type,hour,species,volume,treatment,source,citation
real_digitized,6,S. cerevisiae,0.37,alone,gauseR::gause_1934_book_app_t01,"Gause (1934) Struggle for Existence, Appendix Table 1"
real_digitized,16,S. cerevisiae,8.87,alone,gauseR::gause_1934_book_app_t01,"Gause (1934) Struggle for Existence, Appendix Table 1"
real_digitized,24,S. cerevisiae,10.66,alone,gauseR::gause_1934_book_app_t01,"Gause (1934) Struggle for Existence, Appendix Table 1"
real_digitized,29,S. cerevisiae,12.5,alone,gauseR::gause_1934_book_app_t01,"Gause (1934) Struggle for Existence, Appendix Table 1"
real_digitized,40,S. cerevisiae,13.27,alone,gauseR::gause_1934_book_app_t01,"Gause (1934) Struggle for Existence, Appendix Table 1"
real_digitized,48,S. cerevisiae,12.87,alone,gauseR::gause_1934_book_app_t01,"Gause (1934) Struggle for Existence, Appendix Table 1"
real_digitized,53,S. cerevisiae,12.7,alone,gauseR::gause_1934_book_app_t01,"Gause (1934) Struggle for Existence, Appendix Table 1"
real_digitized,16,S. kephir,1,alone,gauseR::gause_1934_book_app_t01,"Gause (1934) Struggle for Existence, Appendix Table 1"
real_digitized,29,S. kephir,1.7,alone,gauseR::gause_1934_book_app_t01,"Gause (1934) Struggle for Existence, Appendix Table 1"
real_digitized,48,S. kephir,2.73,alone,gauseR::gause_1934_book_app_t01,"Gause (1934) Struggle for Existence, Appendix Table 1"
real_digitized,72,S. kephir,4.87,alone,gauseR::gause_1934_book_app_t01,"Gause (1934) Struggle for Existence, Appendix Table 1"
real_digitized,93,S. kephir,5.67,alone,gauseR::gause_1934_book_app_t01,"Gause (1934) Struggle for Existence, Appendix Table 1"
real_digitized,117,S. kephir,5.8,alone,gauseR::gause_1934_book_app_t01,"Gause (1934) Struggle for Existence, Appendix Table 1"
real_digitized,141,S. kephir,5.83,alone,gauseR::gause_1934_book_app_t01,"Gause (1934) Struggle for Existence, Appendix Table 1"
