data_type,year,elk_northern_min,count_note,citation
compiled_published,1986,16286,winter count,Lemke et al. (1998) Intermountain Journal of Sciences Table 1 (winter 1985-86)
compiled_published,1987,17007,winter count,Lemke et al. (1998) Table 1 (winter 1986-87)
compiled_published,1988,18913,winter count,Lemke et al. (1998) Table 1 (winter 1987-88)
compiled_published,1990,14829,winter count,Lemke et al. (1998) Table 1 (winter 1989-90)
compiled_published,1992,12859,winter count,Lemke et al. (1998) Table 1 (winter 1991-92)
compiled_published,1993,17585,winter count,Lemke et al. (1998) Table 1 (winter 1992-93)
compiled_published,1994,19045,record high (Jan 1994),Lemke et al. (1998); MacNulty et al. (2020)
compiled_published,1995,16791,Dec 1994 count; wolves released Mar 1995,Lemke et al. (1998); MacNulty et al. (2020)
compiled_published,2004,8335,post-wolf decline,White & Garrott (2005) Wildlife Society Bulletin
compiled_published,2010,6100,approx. northern range,Ripple & Beschta (2012) Biological Conservation
compiled_published,2013,3915,low count year,MacNulty et al. (2020) citing park counts
compiled_published,2023,6651,helicopter classification (herd units),NPS / MTFWP 2023 Wolf Project report
