data_type,year,wolves_ynp,packs,source,citation
compiled_published,1995,21,3,compiled_published from NPS Wolf Project annual totals,Yellowstone National Park Wolf Project annual reports (Dec. park totals). Compiled teaching CSV; numbers match published NPS year-end counts (secondary compilation also appears in Wikipedia History of wolves in Yellowstone).
compiled_published,1996,51,9,compiled_published from NPS Wolf Project annual totals,Yellowstone National Park Wolf Project annual reports (Dec. park totals). Compiled teaching CSV; numbers match published NPS year-end counts (secondary compilation also appears in Wikipedia History of wolves in Yellowstone).
compiled_published,1997,86,9,compiled_published from NPS Wolf Project annual totals,Yellowstone National Park Wolf Project annual reports (Dec. park totals). Compiled teaching CSV; numbers match published NPS year-end counts (secondary compilation also appears in Wikipedia History of wolves in Yellowstone).
compiled_published,1998,112,11,compiled_published from NPS Wolf Project annual totals,Yellowstone National Park Wolf Project annual reports (Dec. park totals). Compiled teaching CSV; numbers match published NPS year-end counts (secondary compilation also appears in Wikipedia History of wolves in Yellowstone).
compiled_published,1999,118,11,compiled_published from NPS Wolf Project annual totals,Yellowstone National Park Wolf Project annual reports (Dec. park totals). Compiled teaching CSV; numbers match published NPS year-end counts (secondary compilation also appears in Wikipedia History of wolves in Yellowstone).
compiled_published,2000,119,8,compiled_published from NPS Wolf Project annual totals,Yellowstone National Park Wolf Project annual reports (Dec. park totals). Compiled teaching CSV; numbers match published NPS year-end counts (secondary compilation also appears in Wikipedia History of wolves in Yellowstone).
compiled_published,2001,132,10,compiled_published from NPS Wolf Project annual totals,Yellowstone National Park Wolf Project annual reports (Dec. park totals). Compiled teaching CSV; numbers match published NPS year-end counts (secondary compilation also appears in Wikipedia History of wolves in Yellowstone).
compiled_published,2002,148,14,compiled_published from NPS Wolf Project annual totals,Yellowstone National Park Wolf Project annual reports (Dec. park totals). Compiled teaching CSV; numbers match published NPS year-end counts (secondary compilation also appears in Wikipedia History of wolves in Yellowstone).
compiled_published,2003,174,14,compiled_published from NPS Wolf Project annual totals,Yellowstone National Park Wolf Project annual reports (Dec. park totals). Compiled teaching CSV; numbers match published NPS year-end counts (secondary compilation also appears in Wikipedia History of wolves in Yellowstone).
compiled_published,2004,171,16,compiled_published from NPS Wolf Project annual totals,Yellowstone National Park Wolf Project annual reports (Dec. park totals). Compiled teaching CSV; numbers match published NPS year-end counts (secondary compilation also appears in Wikipedia History of wolves in Yellowstone).
compiled_published,2005,118,13,compiled_published from NPS Wolf Project annual totals,Yellowstone National Park Wolf Project annual reports (Dec. park totals). Compiled teaching CSV; numbers match published NPS year-end counts (secondary compilation also appears in Wikipedia History of wolves in Yellowstone).
