"year","lynx_pelts","source","citation"
1821,269,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1822,321,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1823,585,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1824,871,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1825,1475,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1826,2821,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1827,3928,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1828,5943,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1829,4950,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1830,2577,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1831,523,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1832,98,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1833,184,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1834,279,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1835,409,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1836,2285,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1837,2685,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1838,3409,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1839,1824,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1840,409,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1841,151,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1842,45,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1843,68,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1844,213,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1845,546,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1846,1033,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1847,2129,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1848,2536,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1849,957,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1850,361,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1851,377,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1852,225,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1853,360,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1854,731,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1855,1638,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1856,2725,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1857,2871,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1858,2119,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1859,684,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1860,299,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1861,236,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1862,245,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1863,552,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1864,1623,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1865,3311,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1866,6721,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1867,4254,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1868,687,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1869,255,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1870,473,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1871,358,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1872,784,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1873,1594,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1874,1676,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1875,2251,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1876,1426,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1877,756,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1878,299,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1879,201,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1880,229,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1881,469,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1882,736,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1883,2042,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1884,2811,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1885,4431,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1886,2511,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1887,389,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1888,73,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1889,39,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1890,49,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1891,59,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1892,188,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1893,377,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1894,1292,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1895,4031,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1896,3495,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1897,587,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1898,105,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1899,153,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1900,387,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1901,758,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1902,1307,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1903,3465,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1904,6991,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1905,6313,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1906,3794,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1907,1836,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1908,345,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1909,382,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1910,808,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1911,1388,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1912,2713,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1913,3800,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1914,3091,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1915,2985,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1916,3790,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1917,674,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1918,81,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1919,80,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1920,108,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1921,229,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1922,399,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1923,1132,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1924,2432,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1925,3574,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1926,2935,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1927,1537,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1928,529,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1929,485,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1930,662,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1931,1000,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
1932,1590,"R datasets::lynx","Annual Canadian lynx trappings 1821-1934; R datasets::lynx"
