"week","prey","predator","source","citation"
1,51,NA,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
2,153,NA,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
3,210,1.15,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
4,111,2.4,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
5,101,1.875,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
6,124,0.9,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
7,195,2.45,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
8,202,0.775,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
9,151,0.375,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
10,106,0.7,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
11,200,0.125,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
12,314,0.45,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
13,384,0.075,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
14,392,0.125,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
15,483,0.2,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
16,559,0.6,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
17,561,1.375,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
18,631,1.825,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
19,715,2.8,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
20,699,4.55,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
21,748,4.425,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
22,733,6.45,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
23,974,9.425,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
24,788,14.75,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
25,629,16.05,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
26,325,10.4,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
27,247,5.525,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
28,268,4.175,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
29,253,4.425,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
30,266,2.35,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
31,375,5.15,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
32,577,9.375,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
33,466,11.05,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
34,336,13.525,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
35,196,5.55,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
36,209,5.925,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
37,266,1.525,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
