"year","moose","wolf","aet_mm","source","citation"
1959,547,19,401.722,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1960,558,21,379.823,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1961,575,21,375.512,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1962,591,22,381.271,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1963,630,19,342.622,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1964,673,25,355.085,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1965,717,27,338.193,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1966,849,25,297.031,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1967,997,21,312.836,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1968,1194,21,453.512,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1969,1200,16,320.997,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1970,1331,17,361.957,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1971,1408,19,376.076,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1972,1369,22,344.131,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1973,1419,23,449.596,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1974,1315,30,368.205,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1975,1265,40,324.518,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1976,1095,44,285.864,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1977,964,33,434.92,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1978,991,39,370.268,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1979,904,42,286.357,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1980,843,49,376.743,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1981,800,29,331.396,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1982,969,12,428.486,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1983,898,22,375.596,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1984,1024,23,428.273,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1985,1046,20,428.151,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1986,1002,19,411.28,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1987,1358,15,386.866,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1988,1643,11,338.157,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1989,1375,10,338.883,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1990,1205,14,392.413,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1991,1304,10,331.123,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1992,1572,10,362.845,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1993,1857,11,NA,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
1994,1736,14,NA,"gauseR::mclaren_1994_f03","McLaren & Peterson (1994) Science; Isle Royale moose-wolf; digitized in gauseR"
